models/run_17 Folder exists

===============================================================================

Train file         = splits/train_5.7k_cropped_remapped_siamese.txt
Val file           = splits/val_5.7k_cropped_remapped.txt
Run No             = 17
Model save folder  = models/run_17
-------------------------------
Optimisation Parameters
-------------------------------
lr                 = 0.00050
epochs             = 100
Batch size         = 48
Test Batch size    = 16
Using device: cuda
Compose(
    ToTensor()
)
Using Siamese Network of Resnet 18
Epoch: 1 Training_Loss: 0.137440 Val_acc: 0.245427
Epoch: 2 Training_Loss: 0.101475 Val_acc: 0.256098
Epoch: 3 Training_Loss: 0.083218 Val_acc: 0.230183
Epoch: 4 Training_Loss: 0.068820 Val_acc: 0.233232
Epoch: 5 Training_Loss: 0.058003 Val_acc: 0.207317
Epoch: 6 Training_Loss: 0.048050 Val_acc: 0.207317
Epoch: 7 Training_Loss: 0.040459 Val_acc: 0.205793
Epoch: 8 Training_Loss: 0.036135 Val_acc: 0.207317
Epoch: 9 Training_Loss: 0.031503 Val_acc: 0.199695
Epoch: 10 Training_Loss: 0.027177 Val_acc: 0.198171
Epoch: 11 Training_Loss: 0.023773 Val_acc: 0.195122
Epoch: 12 Training_Loss: 0.021723 Val_acc: 0.195122
Epoch: 13 Training_Loss: 0.020648 Val_acc: 0.190549
Epoch: 14 Training_Loss: 0.017823 Val_acc: 0.187500
Epoch: 15 Training_Loss: 0.016494 Val_acc: 0.182927
Epoch: 16 Training_Loss: 0.015466 Val_acc: 0.185976
Epoch: 17 Training_Loss: 0.014173 Val_acc: 0.181402
Epoch: 18 Training_Loss: 0.013177 Val_acc: 0.182927
Epoch: 19 Training_Loss: 0.011688 Val_acc: 0.192073
Epoch: 20 Training_Loss: 0.010711 Val_acc: 0.182927
Epoch: 21 Training_Loss: 0.010977 Val_acc: 0.179878
Epoch: 22 Training_Loss: 0.012203 Val_acc: 0.176829
Epoch: 23 Training_Loss: 0.013251 Val_acc: 0.192073
Epoch: 24 Training_Loss: 0.007219 Val_acc: 0.187500
Epoch: 25 Training_Loss: 0.005714 Val_acc: 0.179878
