models/run_3 Folder exists

===============================================================================

Train file         = /ec_whale/splits/train_remapped.txt
Val file           = /ec_whale/splits/val_remapped.txt
Run No             = 3
Model save folder  = models/run_3
-------------------------------
Optimisation Parameters
-------------------------------
lr                 = 0.00100
epochs             = 300
Batch size         = 64
Test Batch size    = 32
Using device: cuda
Compose(
    RandomAffine(degrees=(-12, 12), translate=(0.036, 0.036), scale=(0.9, 1.1))
    ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.02)
    ToTensor()
)
Epoch: 1 Training_Loss: 8.393735 Validation_Acc: 0.001
Epoch: 2 Training_Loss: 8.190498 Validation_Acc: 0.001
Epoch: 3 Training_Loss: 7.969224 Validation_Acc: 0.002
Epoch: 4 Training_Loss: 7.655074 Validation_Acc: 0.001
Epoch: 5 Training_Loss: 7.323491 Validation_Acc: 0.004
Epoch: 6 Training_Loss: 7.020904 Validation_Acc: 0.003
Epoch: 7 Training_Loss: 6.773582 Validation_Acc: 0.003
Epoch: 8 Training_Loss: 6.544078 Validation_Acc: 0.006
Epoch: 9 Training_Loss: 6.335096 Validation_Acc: 0.003
Epoch: 10 Training_Loss: 6.130947 Validation_Acc: 0.002
Epoch: 11 Training_Loss: 5.909267 Validation_Acc: 0.009
Epoch: 12 Training_Loss: 5.662854 Validation_Acc: 0.008
Epoch: 13 Training_Loss: 5.389661 Validation_Acc: 0.008
Epoch: 14 Training_Loss: 5.157862 Validation_Acc: 0.012
Epoch: 15 Training_Loss: 4.858818 Validation_Acc: 0.015
Epoch: 16 Training_Loss: 4.569234 Validation_Acc: 0.020
Epoch: 17 Training_Loss: 4.286759 Validation_Acc: 0.032
Epoch: 18 Training_Loss: 4.002389 Validation_Acc: 0.035
Epoch: 19 Training_Loss: 3.757318 Validation_Acc: 0.035
Epoch: 20 Training_Loss: 3.477812 Validation_Acc: 0.046
Epoch: 21 Training_Loss: 3.189218 Validation_Acc: 0.044
Epoch: 22 Training_Loss: 2.919842 Validation_Acc: 0.074
Epoch: 23 Training_Loss: 2.597184 Validation_Acc: 0.051
Epoch: 24 Training_Loss: 2.363218 Validation_Acc: 0.075
Epoch: 25 Training_Loss: 2.136677 Validation_Acc: 0.070
Epoch: 26 Training_Loss: 1.884598 Validation_Acc: 0.077
Epoch: 27 Training_Loss: 1.757341 Validation_Acc: 0.106
Epoch: 28 Training_Loss: 1.512434 Validation_Acc: 0.112
Epoch: 29 Training_Loss: 1.295195 Validation_Acc: 0.112
Epoch: 30 Training_Loss: 1.189238 Validation_Acc: 0.125
Epoch: 31 Training_Loss: 1.088685 Validation_Acc: 0.091
Epoch: 32 Training_Loss: 0.957376 Validation_Acc: 0.135
Epoch: 33 Training_Loss: 0.768245 Validation_Acc: 0.131
Epoch: 34 Training_Loss: 0.762096 Validation_Acc: 0.085
Epoch: 35 Training_Loss: 0.764815 Validation_Acc: 0.133
Epoch: 36 Training_Loss: 0.581774 Validation_Acc: 0.138
Epoch: 37 Training_Loss: 0.495503 Validation_Acc: 0.144
Epoch: 38 Training_Loss: 0.515446 Validation_Acc: 0.149
Epoch: 39 Training_Loss: 0.442498 Validation_Acc: 0.153
Epoch: 40 Training_Loss: 0.455681 Validation_Acc: 0.153
Epoch: 41 Training_Loss: 0.319057 Validation_Acc: 0.164
Epoch: 42 Training_Loss: 0.357487 Validation_Acc: 0.162
Epoch: 43 Training_Loss: 0.297734 Validation_Acc: 0.162
Epoch: 44 Training_Loss: 0.286566 Validation_Acc: 0.159
Epoch: 45 Training_Loss: 0.279647 Validation_Acc: 0.154
Epoch: 46 Training_Loss: 0.284335 Validation_Acc: 0.158
Epoch: 47 Training_Loss: 0.286341 Validation_Acc: 0.166
Epoch: 48 Training_Loss: 0.224538 Validation_Acc: 0.160
Epoch: 49 Training_Loss: 0.259174 Validation_Acc: 0.160
Epoch: 50 Training_Loss: 0.204372 Validation_Acc: 0.162
Epoch: 51 Training_Loss: 0.249650 Validation_Acc: 0.163
Epoch: 52 Training_Loss: 0.155639 Validation_Acc: 0.163
Epoch: 53 Training_Loss: 0.225271 Validation_Acc: 0.160
Epoch: 54 Training_Loss: 0.160867 Validation_Acc: 0.152
Epoch: 55 Training_Loss: 0.180490 Validation_Acc: 0.162
Epoch: 56 Training_Loss: 0.169663 Validation_Acc: 0.150
Epoch: 57 Training_Loss: 0.148110 Validation_Acc: 0.166
Epoch: 58 Training_Loss: 0.115969 Validation_Acc: 0.160
Epoch: 59 Training_Loss: 0.121750 Validation_Acc: 0.153
Epoch: 60 Training_Loss: 0.154401 Validation_Acc: 0.165
Epoch: 61 Training_Loss: 0.162734 Validation_Acc: 0.165

