models/run_60 Folder exists

===============================================================================

Train file         = splits/train_5.7k_cropped_remapped_siamese.txt
Val file           = splits/val_5.7k_cropped_remapped.txt
Run No             = 60
Model save folder  = models/run_60
-------------------------------
Optimisation Parameters
-------------------------------
lr                 = 0.00050
epochs             = 100
Batch size         = 48
Test Batch size    = 16
Using device: cuda
Compose(
    ColorJitter(brightness=[0.8, 1.2], contrast=[0.8, 1.2], saturation=[0.8, 1.2], hue=[-0.02, 0.02])
    ToTensor()
)
Using Siamese Network of Resnet 18
Epoch: 1 Training_Loss: 0.131811 Val_acc: 0.272866
Epoch: 2 Training_Loss: 0.098995 Val_acc: 0.288110
Epoch: 3 Training_Loss: 0.082885 Val_acc: 0.278963
Epoch: 4 Training_Loss: 0.070979 Val_acc: 0.262195
Epoch: 5 Training_Loss: 0.061647 Val_acc: 0.253049
Epoch: 6 Training_Loss: 0.051821 Val_acc: 0.256098
Epoch: 7 Training_Loss: 0.044464 Val_acc: 0.246951
Epoch: 8 Training_Loss: 0.038852 Val_acc: 0.217988
Epoch: 9 Training_Loss: 0.034266 Val_acc: 0.199695
Epoch: 10 Training_Loss: 0.030236 Val_acc: 0.201220
Epoch: 11 Training_Loss: 0.026830 Val_acc: 0.213415
Epoch: 12 Training_Loss: 0.023574 Val_acc: 0.195122
Epoch: 13 Training_Loss: 0.021369 Val_acc: 0.189024
Epoch: 14 Training_Loss: 0.018802 Val_acc: 0.189024
Epoch: 15 Training_Loss: 0.018223 Val_acc: 0.192073
Epoch: 16 Training_Loss: 0.016521 Val_acc: 0.199695
Epoch: 17 Training_Loss: 0.015365 Val_acc: 0.193598
Epoch: 18 Training_Loss: 0.014043 Val_acc: 0.182927
Epoch: 19 Training_Loss: 0.013454 Val_acc: 0.195122
Epoch: 20 Training_Loss: 0.011839 Val_acc: 0.190549
Epoch: 21 Training_Loss: 0.011793 Val_acc: 0.189024
Epoch: 22 Training_Loss: 0.010703 Val_acc: 0.185976
Epoch: 23 Training_Loss: 0.010449 Val_acc: 0.193598
Epoch: 24 Training_Loss: 0.009160 Val_acc: 0.190549
Epoch: 25 Training_Loss: 0.008534 Val_acc: 0.182927
Epoch: 26 Training_Loss: 0.010587 Val_acc: 0.182927
Epoch: 27 Training_Loss: 0.014055 Val_acc: 0.182927
